objectid,title,date,date-is-approximate?,creator,recipient,description,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,rights,rightsstatement,type,format,language,relation,identifier,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
dor037,Romeo and Juliet,1597,yes,William Shakespeare,,Romeo and Juliet is one of Shakespeare's most popular tragedies. It tells the story of two young lovers from feuding families.,,allusion,United Kingdom,,,,Project Gutenberg,,,,Public Doman,Retrieved from Project Gutenberg,Text,,,,,record,https://www.gutenberg.org/cache/epub/1513/pg1513-images.html,,,,
dor038,Portia,1886,,John Everett Millais; William Shakespeare,,"Portia, a wealthy Venetian heiress, is the heroine of Shakespeare's The Merchant of Venice. ",,allusion,United Kingdom,,,,Wikipedia,The Metropolitan Museum of Art,,,Public Doman,Found on Wikipedia,Image;StillImage,image/jpeg,,,,image,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Millais_-_Portia.jpg/1280px-Millais_-_Portia.jpg?,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Millais_-_Portia.jpg/1280px-Millais_-_Portia.jpg?,,,
dor039,Beatrice,1795,,Alessandro Zaffonato; William Shakespeare,,Beatrice is the heroine of Shakespeare's Much Ado About Nothing. She is strong-willed and sharp-witted.,,allusion,United Kingdom,,,,Wikipedia,,,,Public Doman,Found on Wikipedia,Image;StillImage,image/jpeg,,,,image,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Beatrice%2C_in_Shakespeare%27s_Much_ado_about_nothing._Wellcome_L0074557.jpg/1920px-Beatrice%2C_in_Shakespeare%27s_Much_ado_about_nothing._Wellcome_L0074557.jpg?,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Beatrice%2C_in_Shakespeare%27s_Much_ado_about_nothing._Wellcome_L0074557.jpg/1920px-Beatrice%2C_in_Shakespeare%27s_Much_ado_about_nothing._Wellcome_L0074557.jpg?,,,
dor040,Cordelia,1888,,William Frederick Yeames; William Shakespeare,,"Cordelia is the heroine of Shakespeare's tragedy, King Lear. She is the youngest daughter of King Lear and the only one to remain loyal to him.",,allusion,United Kingdom,,,,Wikipedia,,,,Public Doman,Found on Wikipedia,Image;StillImage,image/jpeg,,,,image,https://upload.wikimedia.org/wikipedia/commons/3/39/Cordelia_-_William_Frederick_Yeames.jpg?,https://upload.wikimedia.org/wikipedia/commons/3/39/Cordelia_-_William_Frederick_Yeames.jpg?,,,
dor041,Covent Garden,1737,,Balthazar Nebot,,Balthazar Nebot's 1737 painting of the square before the 1830 market hall was constructed,,location,London,51.5125,-0.1225,,Wikipedia,The Tate,,,Public Doman,Found on Wikipedia,Image;StillImage,image/jpeg,,,,image,https://upload.wikimedia.org/wikipedia/commons/2/20/Nebot_covent_garden_market_clean.jpg,https://upload.wikimedia.org/wikipedia/commons/2/20/Nebot_covent_garden_market_clean.jpg,,,
dor042,Jermyn Street,May 2026,,Aethonatic,,Jermyn Street in London.,,location,London,51.508619,-0.136264,,Wikipedia,,,,Public Doman,Found on Wikipedia,Image;StillImage,image/jpeg,,,,image,https://upload.wikimedia.org/wikipedia/commons/a/ae/Jermyn_Street_%283%29_-_17_May_2026.jpg?,https://upload.wikimedia.org/wikipedia/commons/a/ae/Jermyn_Street_%283%29_-_17_May_2026.jpg??,,,
dor043,John Webster,,,,,"John Webster was a Jacobean dramatist known for his plays, the Duchess of Malfi and The White Devil. His plays were dark and complex, even for their time.",,allusion,United Kingdom,,,,Wikipedia,,,,,,,,,,,record,,,,,
dor044,John Ford,,,,,John Ford was a  playwright and poet in the Jacobean era. His works often surrounded topics like morality and passion.,,allusion,United Kingdom,,,,Wikipedia,,,,,,,,,,,record,,,,,
dor045,Cyril Tourneur,,,,,"Cyril Tourneur was a Jacobean poet and playwright best known for his play, The Atheist's Tragedy",,allusion,United Kingdom,,,,Wikipedia,,,,,,,,,,,record,,,,,
dor046,Théophile Gautier,1856,yes,Nadar,,"Théophile Gautier was a French poet, writer, and literary critic.",,allusion,France,,,,Wikipedia,The Metropolitan Museum of Art,,,Public Doman,Found on Wikipedia,Image;StillImage,image/jpeg,,,,image,https://upload.wikimedia.org/wikipedia/commons/b/bd/Th%C3%A9ophile_Gautier_by_Nadar_c1856-1.jpg??,https://upload.wikimedia.org/wikipedia/commons/b/bd/Th%C3%A9ophile_Gautier_by_Nadar_c1856-1.jpg?,,,
dor047,Paris,1788,,Jacques-Louis David,,"The Love of Helen and Paris by Jacques-Louis David (oil on canvas, 1788, Louvre, Paris)",,,Paris,,,,Wikipedia,The Louvre,,,Public Doman,Found on Wikipedia,Image;StillImage,image/jpeg,,,,image,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Les_Amours_de_P%C3%A2ris_et_d%27H%C3%A9l%C3%A8ne_%28painting_by_Jacques-Louis_David%29.jpg/1920px-Les_Amours_de_P%C3%A2ris_et_d%27H%C3%A9l%C3%A8ne_%28painting_by_Jacques-Louis_David%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Les_Amours_de_P%C3%A2ris_et_d%27H%C3%A9l%C3%A8ne_%28painting_by_Jacques-Louis_David%29.jpg/1920px-Les_Amours_de_P%C3%A2ris_et_d%27H%C3%A9l%C3%A8ne_%28painting_by_Jacques-Louis_David%29.jpg,,,
dor048,Adonis,410 BC,yes,,,"Attic red-figure aryballos painting by Aison (c. 410 BC) showing Adonis consorting with Aphrodite",,,Paris,,,,Wikipedia,The Louvre,,,Public Doman,Found on Wikipedia,Image;StillImage,image/jpeg,,,,image,https://upload.wikimedia.org/wikipedia/commons/f/f6/Aphrodite_Adonis_Louvre_MNB2109.jpg?,https://upload.wikimedia.org/wikipedia/commons/f/f6/Aphrodite_Adonis_Louvre_MNB2109.jpg?,,,
